Iteration: 39000, Loss: 240.91104125976562, Base Loss: 240.909912109375, Regularisation Term: 0.0011295335134491324, Hessian Trace: -3.3608531951904297
Iteration: 39000, Loss: 242.75924682617188, Base Loss: 242.75784301757812, Regularisation Term: 0.001396713312715292, Hessian Trace: -3.7372632026672363
Iteration: 40000, Loss: 240.9818878173828, Base Loss: 240.9812774658203, Regularisation Term: 0.0006088692462071776, Hessian Trace: -2.4675276279449463
Iteration: 40000, Loss: 242.5098419189453, Base Loss: 242.5087432861328, Regularisation Term: 0.0010984139516949654, Hessian Trace: -3.3142330646514893
Iteration: 41000, Loss: 247.4686279296875, Base Loss: 247.46792602539062, Regularisation Term: 0.0007042203797027469, Hessian Trace: -2.653715133666992
Iteration: 41000, Loss: 243.55792236328125, Base Loss: 243.55691528320312, Regularisation Term: 0.0010021948255598545, Hessian Trace: -3.1657462120056152
Iteration: 42000, Loss: 245.73155212402344, Base Loss: 245.7305145263672, Regularisation Term: 0.001037283567711711, Hessian Trace: -3.220688581466675
Iteration: 42000, Loss: 249.60354614257812, Base Loss: 249.6022491455078, Regularisation Term: 0.001296100439503789, Hessian Trace: -3.600139856338501
Iteration: 43000, Loss: 237.10617065429688, Base Loss: 237.10511779785156, Regularisation Term: 0.0010494820307940245, Hessian Trace: -3.2395708560943604
Iteration: 43000, Loss: 250.4965362548828, Base Loss: 250.49571228027344, Regularisation Term: 0.0008231993997469544, Hessian Trace: -2.869145393371582
Iteration: 44000, Loss: 242.6264190673828, Base Loss: 242.62539672851562, Regularisation Term: 0.0010189419845119119, Hessian Trace: -3.192087173461914
Iteration: 44000, Loss: 238.2470703125, Base Loss: 238.2456512451172, Regularisation Term: 0.0014157507102936506, Hessian Trace: -3.762646436691284
Iteration: 45000, Loss: 246.27630615234375, Base Loss: 246.27484130859375, Regularisation Term: 0.0014644728507846594, Hessian Trace: -3.826843023300171
Iteration: 45000, Loss: 245.06585693359375, Base Loss: 245.06494140625, Regularisation Term: 0.0009106820216402411, Hessian Trace: -3.0177509784698486
Iteration: 46000, Loss: 240.62403869628906, Base Loss: 240.623291015625, Regularisation Term: 0.0007407005177810788, Hessian Trace: -2.72158145904541
Iteration: 46000, Loss: 240.3917694091797, Base Loss: 240.3910369873047, Regularisation Term: 0.0007355268462561071, Hessian Trace: -2.71205997467041
Iteration: 47000, Loss: 240.4009552001953, Base Loss: 240.4001007080078, Regularisation Term: 0.0008472765912301838, Hessian Trace: -2.910801649093628
Iteration: 47000, Loss: 248.272705078125, Base Loss: 248.27178955078125, Regularisation Term: 0.0009116196888498962, Hessian Trace: -3.0193042755126953
Iteration: 48000, Loss: 240.59033203125, Base Loss: 240.58932495117188, Regularisation Term: 0.0010046473471447825, Hessian Trace: -3.169617176055908
Iteration: 48000, Loss: 245.0029754638672, Base Loss: 245.00189208984375, Regularisation Term: 0.0010818839073181152, Hessian Trace: -3.2892005443573
