Iteration: 36000, Loss: 160.1009521484375, Base Loss: 160.1009521484375, Regularisation Term: -0.0, Hessian Trace: -16.632671356201172
Iteration: 37000, Loss: 160.34854125976562, Base Loss: 160.34854125976562, Regularisation Term: -0.0, Hessian Trace: -16.496816635131836
Iteration: 37000, Loss: 159.49913024902344, Base Loss: 159.49913024902344, Regularisation Term: -0.0, Hessian Trace: -16.292783737182617
Iteration: 38000, Loss: 160.51895141601562, Base Loss: 160.51895141601562, Regularisation Term: -0.0, Hessian Trace: -17.772077560424805
Iteration: 38000, Loss: 159.57131958007812, Base Loss: 159.57131958007812, Regularisation Term: -0.0, Hessian Trace: -16.52899169921875
Iteration: 39000, Loss: 152.60525512695312, Base Loss: 152.60525512695312, Regularisation Term: -0.0, Hessian Trace: -14.471208572387695
Iteration: 39000, Loss: 159.71156311035156, Base Loss: 159.71156311035156, Regularisation Term: -0.0, Hessian Trace: -15.258220672607422
Iteration: 40000, Loss: 160.18795776367188, Base Loss: 160.18795776367188, Regularisation Term: -0.0, Hessian Trace: -14.086109161376953
Iteration: 40000, Loss: 159.30667114257812, Base Loss: 159.30667114257812, Regularisation Term: -0.0, Hessian Trace: -14.636911392211914
Iteration: 41000, Loss: 154.91439819335938, Base Loss: 154.91439819335938, Regularisation Term: -0.0, Hessian Trace: -12.550135612487793
Iteration: 41000, Loss: 160.24819946289062, Base Loss: 160.24819946289062, Regularisation Term: -0.0, Hessian Trace: -13.876936912536621
Iteration: 42000, Loss: 158.0717315673828, Base Loss: 158.0717315673828, Regularisation Term: -0.0, Hessian Trace: -13.533736228942871
Iteration: 42000, Loss: 159.1615753173828, Base Loss: 159.1615753173828, Regularisation Term: -0.0, Hessian Trace: -13.474769592285156
Iteration: 43000, Loss: 156.23886108398438, Base Loss: 156.23886108398438, Regularisation Term: -0.0, Hessian Trace: -13.769893646240234
Iteration: 43000, Loss: 158.5784912109375, Base Loss: 158.5784912109375, Regularisation Term: -0.0, Hessian Trace: -14.609843254089355
Iteration: 44000, Loss: 157.61163330078125, Base Loss: 157.61163330078125, Regularisation Term: -0.0, Hessian Trace: -15.230035781860352
Iteration: 44000, Loss: 159.05348205566406, Base Loss: 159.05348205566406, Regularisation Term: -0.0, Hessian Trace: -16.577438354492188
Iteration: 45000, Loss: 158.5954132080078, Base Loss: 158.5954132080078, Regularisation Term: -0.0, Hessian Trace: -17.66059684753418
Iteration: 45000, Loss: 158.29441833496094, Base Loss: 158.29441833496094, Regularisation Term: -0.0, Hessian Trace: -18.259313583374023
Iteration: 46000, Loss: 160.12144470214844, Base Loss: 160.12144470214844, Regularisation Term: -0.0, Hessian Trace: -15.202247619628906
Iteration: 46000, Loss: 158.32435607910156, Base Loss: 158.32435607910156, Regularisation Term: -0.0, Hessian Trace: -16.116743087768555
Iteration: 47000, Loss: 160.2576141357422, Base Loss: 160.2576141357422, Regularisation Term: -0.0, Hessian Trace: -18.920425415039062
Iteration: 47000, Loss: 158.084716796875, Base Loss: 158.084716796875, Regularisation Term: -0.0, Hessian Trace: -19.273393630981445
Iteration: 48000, Loss: 161.1033172607422, Base Loss: 161.1033172607422, Regularisation Term: -0.0, Hessian Trace: -16.17471694946289
Iteration: 48000, Loss: 157.94700622558594, Base Loss: 157.94700622558594, Regularisation Term: -0.0, Hessian Trace: -16.290496826171875
Iteration: 49000, Loss: 158.68260192871094, Base Loss: 158.68260192871094, Regularisation Term: -0.0, Hessian Trace: -13.859539985656738
Iteration: 49000, Loss: 157.61195373535156, Base Loss: 157.61195373535156, Regularisation Term: -0.0, Hessian Trace: -14.878630638122559
Iteration: 50000, Loss: 157.5987548828125, Base Loss: 157.5987548828125, Regularisation Term: -0.0, Hessian Trace: -12.46331787109375
Iteration: 50000, Loss: 157.9995880126953, Base Loss: 157.9995880126953, Regularisation Term: -0.0, Hessian Trace: -12.791826248168945
